inrow slashing,pass,pass,pass,pass,fail,fail,fail,pass,partial,pass,partial,,,,,,,,,,
health status,partial,pass,pass,pass,pass,partial,pass,partial,pass,pass,partial,,,,,,,,,,
soil nutrients,partial,pass,pass,pass,pass,pass,pass,fail,pass,pass,fail,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
compiled by Jacob andprecious,,,,,,,,,,,,,,,,,,,,,
scouted by precious,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
31/04/25,MOISTURE READINGS,,,,,,,,,,,,,,,,,,,,
B1S1,partial,,,,,,,,,,,,,,,,,,,,
B1S2,partial,,,,,,,,,,,,,,,,,,,,
B2S1A,pass,,,,,,,,,,,,,,,,,,,,
B2S2,partial,,,,,,,,,,,,,,,,,,,,
B2S3 ,pass,,,,,,,,,,,,,,,,,,,,
B2S4,pass,,,,,,,,,,,,,,,,,,,,
B2S5 ,partial,,,,,,,,,,,,,,,,,,,,
B2S6,pass,,,,,,,,,,,,,,,,,,,,
B2S7,partial,,,,,,,,,,,,,,,,,,,,
B2S8 ,partial,,,,,,,,,,,,,,,,,,,,
b2s1b,partial,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
04/01/25,b1s1 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,fail some green vegetable bugs [5 adults] found within the orchard,,,,,,,,,,,,,,,,,,,,
diseases,fail,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
mowing,"pass, grass regrowth",,,,,,,,,,,,,,,,,,,,
wet soil,partial,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,N/A,,,,,,,,,,,,,,,,,,,,
pipes in good order,N/A,,,,,,,,,,,,,,,,,,,,
drippers,N/A,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,"partial ,those leaves with brownish problem not yet recovered",,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
ph correct,"6,8",,,,,,,,,,,,,,,,,,,,
health status,partial,,,,,,,,,,,,,,,,,,,,
soil nutrients,partial,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
04/01/25,b1s2 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,partial,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,N/A,,,,,,,,,,,,,,,,,,,,
pipes in good order,N/A,,,,,,,,,,,,,,,,,,,,
drippers,N/A,,,,,,,,,,,,,,,,,,,,
staking,"Pass ,1 plant to be staked",,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
ph correct,"6,8",,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
04/02/25,b2s7 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests," Pass ,2 nymphals of green vegetable bug found",,,,,,,,,,,,,,,,,,,,
diseases,"partial ,stem canker /trunk wounds found on plants",,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
basin weeds,fail,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,partial,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippes,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
ph correct,"6,8",,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
health status,"partial,action on stem canker should be done",,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
04/02/25,b2s5 Daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,"fail,a soil borne disease which lead to the death of big trees",,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
basin weeds,fail,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,"partial,extension portion need action",,,,,,,,,,,,,,,,,,,,
wet soil,partial,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
 soil nutrients,fail,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
dead plants,fail,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
ph correct,"6,8",,,,,,,,,,,,,,,,,,,,
health status,partial,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
04/03/25,b2s1a daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
basin weeds,fail,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,"pass, grass regrowth",,,,,,,,,,,,,,,,,,,,
wet soil,partial,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
ph correct,,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
04/03/25,b2s1b daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
basin weeds,"partial, some basins still clean",,,,,,,,,,,,,,,,,,,,
mowing,"pass, slashing was done",,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,partial,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers ,pass,,,,,,,,,,,,,,,,,,,,
ph correct,"6,4",,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
NB,most of plants have already lose its nuts due to pest damages,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
04/23/25,B1S1 Daily scouting zig zag morning,,,,,,,,,,,,,,,,,,,,
insect pests,"Fail, 5 green vegetable bugs adults and some nymphals found",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,"pass ,due to herbiciding",,,,,,,,,,,,,,,,,,,,
mowing,"pass, very smart",,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,N/A,,,,,,,,,,,,,,,,,,,,
pipes in good order,N/A,,,,,,,,,,,,,,,,,,,,
drippers,N/A,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
ph correct,"6,8",,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
contours,"fail,to be slashed for smart",,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
04/23/25,b1s2 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,"fail,2green vegetable bug adults and some nymphs found",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,N/A,,,,,,,,,,,,,,,,,,,,
pipes in good order,N/A,,,,,,,,,,,,,,,,,,,,
drippers,N/A,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
ph correct,"6,8",,,,,,,,,,,,,,,,,,,,
contours,fail,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
04/24/25,b2s7 daily scouting parallel morning,,,,,,,,,,,,,,,,,,,,
insect pests,"partial,some green vegetable bugs nymphals and 7 plants with felted coccid on few nuts",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
mowing,"pass, grass recoveries",,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
ph correct,"6,8",,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
04/24/25,b2s6 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,"fail felted coccid affects most of the plants ,green vegetable bugs nymphs [10]",,,,,,,,,,,,,,,,,,,,
diseases,"pass,",,,,,,,,,,,,,,,,,,,,
basin weeds,partial,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,partial,,,,,,,,,,,,,,,,,,,,
mowing,"partial,grass regrowth",,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,partial,,,,,,,,,,,,,,,,,,,,
ph correct,"6,8",,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
04/25/25,b2s1a daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,"partial,green vegetable bug nymphals [4] and 1 nut borer moth.",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,partial,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,"pass,was herbicided on 23/04/25",,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
ph correct,"6,8",,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
04/25/25,b2s1B,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,partial,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,partial,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
ph correct,"6,4",,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
04/28/25,B1S1 Check scouting after lambda spray on 23/04/25,,,,,,,,,,,,,,,,,,,,
insect pests,"fail,green vegetable bugs adults [4] and few nymphals found",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,"pass ,very smart",,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,"pass,very clean.",,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,N/A,,,,,,,,,,,,,,,,,,,,
pipes in good order,N/A,,,,,,,,,,,,,,,,,,,,
drippers,N/A,,,,,,,,,,,,,,,,,,,,
ph correct,,,,,,,,,,,,,,,,,,,,,
health status,pass. ,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
04/28/25,B1S2 Daily scouting after lambda spray on 24/04/25,,,,,,,,,,,,,,,,,,,,
insect pests,"partial,green vegetable bugs nymphals found in few number.",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
mowing ,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,  pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,N/A,,,,,,,,,,,,,,,,,,,,
pipes in good order,N/A,,,,,,,,,,,,,,,,,,,,
drippers,N/A,,,,,,,,,,,,,,,,,,,,
ph correct,,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
04/29/25,b2s8 Daily scouting morning zig zag,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,partial,,,,,,,,,,,,,,,,,,,,
basin weeds,fail,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,"partial, herbicided grass need action for sure smart",,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,partial,,,,,,,,,,,,,,,,,,,,
leaf colour,partial,,,,,,,,,,,,,,,,,,,,
plant growth,partial,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,partial,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
ph correct,,,,,,,,,,,,,,,,,,,,,
destumping,pass,,,,,,,,,,,,,,,,,,,,
health status,partial,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
04/29/25,b2s2 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
 inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,partial,,,,,,,,,,,,,,,,,,,,
plant growth,partial,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,partial,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
ph correct,"5,8",,,,,,,,,,,,,,,,,,,,
health status,partial,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
04/30/25,b2s3 Daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
mowing,"pass   ,inaccessibles inprogress",,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
wet soil,partial,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,partial,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
dead plants,"Pass ,[1]",,,,,,,,,,,,,,,,,,,,
ph correct,,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
04/30/25,b2s4 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,fail,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
wet soil,partial,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
ph correct,,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
destumping,"partial ,inprogress",,,,,,,,,,,,,,,,,,,,
inaccessibles,"fail, requires action",,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
04/30/25,b2s5 Daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,DASHBOARD  24 APRIL TO 30 APRIL 2025,,,,,,,,,,,,,,,,,,
plant growth,pass,DATES,04/28/25,04/28/25,04/25/25,04/25/25,04/29/25,04/30/25,04/30/25,04/30/25,04/24/25,04/24/25,04/29/25,,,,,,,,
dead plants,pass,SECTION,B1S1,B1S2,B2S1A,B2S1B,B2S2,B2S3,B2S4,B2S5,B2S6,B2S7,B2S8,,,,,,,,
pruning,pass,insect pests,fail,partial,partial,pass,pass,pass,pass,pass,fail,pass,pass,,,,,,,,
staking,pass,diseases,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,partial,,,,,,,,
ph correct,,basin weeds,pass,pass,partial,partial,pass,pass,fail,pass,partial,pass,fail,,,,,,,,
pipes correctly burried,pass,basin formation,N/A,N/A,N/A,N/A,pass,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
pipes in good order,pass,mowing,pass,pass,pass,pass,pass,pass,partial,pass,pass,pass,pass,,,,,,,,
drippers,pass,inrow slashing,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
health status,pass,wet soil condition,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
,by precious,soil nutrient,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,partial,,,,,,,,
05/03/25,B2S1A  DAILY SCOUTING LINE BY LINE  MORNING,leaf colour,pass,pass,pass,pass,partial,pass,pass,pass,pass,pass,partial,,,,,,,,
insect pests,"Fail, 1 green vegetable bug and its nymphals [5] found",plant growth,pass,pass,pass,pass,partial,pass,pass,pass,pass,pass,pass,,,,,,,,
diseases,pass,prunning,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
basin weeds,"partial, the herbicided weeds should be removed off for smart",staking,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
basin formation,N/A,dead plants,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
mowing,pass,pipes correctly burried,N/A,N/A,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
wet soil,pass,pipes in good order,N/A,N/A,pass,pass,partial,partial,pass,pass,pass,pass,partial,,,,,,,,
 soil nutrients,pass,drippers,N/A,N/A,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
inrow slashing,partial,contours,fail,fail,----,----,---,----,----,----,----,---,----,,,,,,,,
leaf colour,pass,health status,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,partial,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass’,scouted by precious,,,,,,,,,,,,,,,,,,,
staking,pass,written by precious,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
ph correct,"6,8",,,,,,,,,,,,,,,,,,,,
health status,pass,,05/09/25,B2S7; HARVESTING RECORDINGS OF KGS,,,,10792kg,,,,,,,,,,,,,
,by precious,,A,B,B,,C,D,E,F,G,,,,,,,,,,
05/03/25,B2S8 DAILY SCOUTING  MORNING ZIG ZAG  MORNING,,126,1,103,,59,226,237,289,282,,,,,,,,,,
insect pests,pass,,105,,76,,173,178,81,215,170,,,,,,,,,,
diseases,partial,,185,,74,,120,180,109,84,126,,,,,,,,,,
basin weeds,partial,,141,,110,,87,66,200,152,200,,,,,,,,,,
basin formation,N/A,,124,,42,,140,201,200,124,300,,,,,,,,,,
mowing,pass,,183,,47,,132,51,300,360,,,,,,,,,,,
wet soil,pass,,117,,65,,50,111,218,150,,,,,,,,,,,
soil nutrients,pass,,69,,88,,179,250,217,150,,,,,,,,,,,
inrow slashing,pass,,140,,164,,92,200,250,59,,,,,,,,,,,
leaf colour,pass,,147,,120,,114,225,111,300,,,,,,,,,,,
 plant growth,pass,,,,,,50,,,131,,,,,,,,,,,
pruning,pass,,,,,,288,,,106,,,,,,,,,,,
